seed,scenario,strategy,jobs,success_rate,stranded,duplicate_generations,total_cost,cost_per_1k_success,retry_amplification,p50_completion_s,p95_completion_s,p99_completion_s,window_jobs,window_success_rate,window_p50_completion_s,window_p95_completion_s,window_p99_completion_s
1,baseline,naive_retry,513,1.0,0,0,544.5999999999997,1061.5984405458082,1.0526315789473684,74.937295598638,182.080787967248,272.9041987934047,,,,,
2,baseline,naive_retry,540,1.0,0,0,571.1999999999997,1057.7777777777774,1.048148148148148,79.40747309869266,186.53895478108734,246.76009239712516,,,,,
3,baseline,naive_retry,526,1.0,0,3,552.5999999999997,1050.5703422053225,1.038022813688213,76.70495863880222,168.61534802983078,257.7377536291733,,,,,
4,baseline,naive_retry,549,1.0,0,1,569.9999999999998,1038.251366120218,1.0364298724954462,76.24187770059461,196.60845288137762,290.05611689796024,,,,,
5,baseline,naive_retry,522,1.0,0,1,547.7999999999997,1049.4252873563212,1.0421455938697317,77.04817817739013,190.1543096023372,270.8519083061951,,,,,
6,baseline,naive_retry,563,1.0,0,1,602.9999999999995,1071.0479573712248,1.058614564831261,80.15666173078387,199.0380909599594,248.38354817895743,,,,,
7,baseline,naive_retry,540,1.0,0,5,571.3999999999996,1058.1481481481474,1.05,76.3517778168218,200.8068103388564,320.37225000299395,,,,,
8,baseline,naive_retry,545,1.0,0,1,577.3999999999999,1059.4495412844035,1.0495412844036698,77.37184649922668,186.65563195808886,262.95173053247527,,,,,
9,baseline,naive_retry,595,1.0,0,1,635.7999999999995,1068.5714285714278,1.053781512605042,82.65063163720743,183.5943725786169,247.01944518866736,,,,,
10,baseline,naive_retry,518,1.0,0,2,553.7999999999997,1069.1119691119686,1.057915057915058,77.95661515454003,191.3413567414873,280.21895885496565,,,,,
11,baseline,naive_retry,542,1.0,0,4,576.7999999999997,1064.2066420664203,1.0535055350553506,74.2473604731066,183.30235915942126,255.3782293946283,,,,,
12,baseline,naive_retry,501,1.0,0,2,529.9999999999998,1057.8842315369257,1.0499001996007984,78.04667912498599,195.21273710592595,272.4216196059316,,,,,
13,baseline,naive_retry,540,1.0,0,1,556.1999999999999,1029.9999999999998,1.0333333333333334,79.2198801484229,187.7207339910624,246.55608335191982,,,,,
14,baseline,naive_retry,548,1.0,0,1,570.7999999999998,1041.6058394160582,1.0401459854014599,80.62320510745872,198.54845676261584,263.0645639001168,,,,,
15,baseline,naive_retry,574,1.0,0,3,605.1999999999996,1054.3554006968634,1.048780487804878,78.71659169723364,186.75481433438085,297.06505102091205,,,,,
16,baseline,naive_retry,558,1.0,0,1,591.3999999999996,1059.8566308243721,1.0483870967741935,76.31991378733778,180.9366885906984,298.6351149159259,,,,,
17,baseline,naive_retry,504,1.0,0,2,533.9999999999998,1059.5238095238092,1.0496031746031746,75.6488699895931,187.33243716956895,281.67972280227605,,,,,
18,baseline,naive_retry,520,1.0,0,2,556.3999999999997,1069.9999999999995,1.0538461538461539,79.69453122478808,200.97042794192885,271.7327509881868,,,,,
19,baseline,naive_retry,512,1.0,0,3,535.7999999999998,1046.4843749999998,1.048828125,79.54907182612351,170.4280902826489,278.8499285980042,,,,,
20,baseline,naive_retry,521,1.0,0,1,548.1999999999997,1052.2072936660263,1.038387715930902,76.71489042161022,186.685085780524,276.4221073259855,,,,,
21,baseline,naive_retry,544,1.0,0,1,571.5999999999998,1050.7352941176466,1.0441176470588236,75.51059524221819,191.42888058786696,270.61895713593776,,,,,
22,baseline,naive_retry,557,1.0,0,1,581.3999999999997,1043.8061041292635,1.03770197486535,76.34468076705213,189.0031909148073,253.2094764871493,,,,,
23,baseline,naive_retry,534,1.0,0,1,557.1999999999998,1043.445692883895,1.0355805243445693,76.35574421188232,193.96315742147453,242.69846420287638,,,,,
24,baseline,naive_retry,568,1.0,0,1,599.3999999999996,1055.2816901408444,1.0475352112676057,77.57754386559054,186.2303361711588,275.97979719150044,,,,,
25,baseline,naive_retry,535,1.0,0,3,573.9999999999997,1072.8971962616815,1.0598130841121496,79.68163416586137,192.26574589783195,280.1041765480918,,,,,
26,baseline,naive_retry,502,1.0,0,2,524.3999999999999,1044.6215139442227,1.0418326693227091,76.61849685596144,171.1618576060993,241.412563463102,,,,,
27,baseline,naive_retry,542,1.0,0,1,562.1999999999998,1037.2693726937266,1.033210332103321,78.02652259310912,175.42173038443957,239.5329596720121,,,,,
28,baseline,naive_retry,524,1.0,0,3,550.7999999999997,1051.1450381679383,1.0419847328244274,77.42516665977323,186.47952530517085,316.865956749878,,,,,
29,baseline,naive_retry,535,1.0,0,1,559.9999999999999,1046.7289719626167,1.0411214953271029,75.08688881662465,199.449697388226,262.1638515913937,,,,,
30,baseline,naive_retry,512,1.0,0,1,546.3999999999997,1067.1874999999995,1.0546875,76.34051422323523,190.92074592314248,275.1358938889798,,,,,
1,baseline,sync_gateway,513,0.9629629629629629,0,0,515.8,1044.1295546558704,1.01364522417154,72.52159361181316,164.95147218687498,235.36545179815676,,,,,
2,baseline,sync_gateway,540,0.9574074074074074,0,0,541.5999999999999,1047.5822050290133,1.0074074074074073,77.52772356835237,171.46890434603233,230.2058808637753,,,,,
3,baseline,sync_gateway,526,0.9562737642585551,0,0,527.2,1048.1113320079526,1.005703422053232,75.91536057207486,170.5164427949535,234.20486118775034,,,,,
4,baseline,sync_gateway,549,0.9672131147540983,0,0,550.1999999999999,1036.1581920903952,1.005464480874317,77.1347841084339,164.79789071424557,198.78329973716632,,,,,
5,baseline,sync_gateway,522,0.9712643678160919,0,0,523.5999999999999,1032.7416173570018,1.0076628352490422,75.83003874578208,178.47901184223485,233.93038349537755,,,,,
6,baseline,sync_gateway,563,0.9644760213143873,0,0,565.7999999999998,1041.9889502762428,1.0124333925399644,78.06471083654151,170.46241383019765,219.59157502476046,,,,,
7,baseline,sync_gateway,540,0.9796296296296296,0,0,541.5999999999999,1023.8185255198487,1.0074074074074073,77.35307645907778,175.50379201687156,259.90681554698403,,,,,
8,baseline,sync_gateway,545,0.9651376146788991,0,0,547.8,1041.444866920152,1.0128440366972478,75.8310990433335,158.16942216378902,227.49950406043496,,,,,
9,baseline,sync_gateway,595,0.973109243697479,0,0,595.4,1028.3246977547496,1.0016806722689076,74.33444635400792,166.44399321486844,241.84148792707697,,,,,
10,baseline,sync_gateway,518,0.9613899613899614,0,0,519.9999999999999,1044.1767068273089,1.0096525096525097,74.95711953016962,167.742373792104,241.21556885369387,,,,,
11,baseline,sync_gateway,542,0.977859778597786,0,0,544.0,1026.4150943396226,1.0092250922509225,73.95998709692958,166.3542634757573,255.3782293946283,,,,,
12,baseline,sync_gateway,501,0.9620758483033932,0,0,502.59999999999997,1042.738589211618,1.0079840319361277,79.79411394134377,181.1119939811574,265.91983821066015,,,,,
13,baseline,sync_gateway,540,0.9814814814814815,0,0,543.5999999999999,1025.6603773584905,1.0166666666666666,78.66981837360095,179.0462026288434,235.05877931866166,,,,,
14,baseline,sync_gateway,548,0.9726277372262774,0,0,551.1999999999999,1034.1463414634145,1.0145985401459854,78.77576111202143,178.55226864124973,264.16909667640425,,,,,
15,baseline,sync_gateway,574,0.9703832752613241,0,0,574.8,1031.9569120287254,1.0034843205574913,78.9998874556868,173.664316631862,231.894407490111,,,,,
16,baseline,sync_gateway,558,0.974910394265233,0,0,558.4,1026.470588235294,1.0017921146953406,74.8341920209973,160.89453276752488,229.55018836171178,,,,,
17,baseline,sync_gateway,504,0.9702380952380952,0,0,505.2,1033.1288343558283,1.005952380952381,78.63368744974787,181.0918361654551,269.09395526330354,,,,,
18,baseline,sync_gateway,520,0.9807692307692307,0,0,521.6,1022.7450980392157,1.0076923076923077,76.00348976388523,181.59199341034082,262.8448765988419,,,,,
19,baseline,sync_gateway,512,0.95703125,0,0,515.8,1052.6530612244896,1.017578125,78.37850864240761,165.5654136984749,221.63643535167057,,,,,
20,baseline,sync_gateway,521,0.9577735124760077,0,0,522.9999999999999,1048.0961923847694,1.0095969289827256,75.32638455250174,167.78850934062893,240.57284106650908,,,,,
21,baseline,sync_gateway,544,0.9577205882352942,0,0,545.6,1047.2168905950098,1.0073529411764706,74.44856690998176,169.87035541352293,220.5837865110425,,,,,
