seed,scenario,strategy,jobs,success_rate,stranded,duplicate_generations,total_cost,cost_per_1k_success,retry_amplification,p50_completion_s,p95_completion_s,p99_completion_s,window_jobs,window_success_rate,window_p50_completion_s,window_p95_completion_s,window_p99_completion_s,label
1,throttle_storm,durable_workflow,1197,1.0,0,0,1580.8000000000065,1320.6349206349262,1.6399331662489558,96.65603279332197,234.160311265495,326.3745452313656,570,1.0,112.33118718322203,255.46180449524672,356.641602109172,throttle=capacity_fact
2,throttle_storm,durable_workflow,1151,1.0,0,0,1518.4000000000046,1319.2006950477885,3.2728062554300608,113.20411841760415,242.95899231585554,345.92659419940037,579,1.0,146.76405337693495,290.0540849794272,367.55654351046223,throttle=capacity_fact
3,throttle_storm,durable_workflow,1157,1.0,0,0,1495.4000000000037,1292.4805531547136,1.6646499567847883,91.97498736207353,221.06846514868766,319.6096361864943,582,1.0,107.57858119759271,240.20370055103376,319.71041051373913,throttle=capacity_fact
4,throttle_storm,durable_workflow,1204,1.0,0,0,1583.0000000000066,1314.7840531561517,3.9003322259136213,119.87141496763434,257.08641350614107,369.9342861989858,640,1.0,149.71928078496126,284.4884997160502,402.9016225335845,throttle=capacity_fact
5,throttle_storm,durable_workflow,1123,0.9991095280498664,0,0,1452.0000000000023,1294.1176470588257,1.3223508459483526,86.29542474841355,208.94849400322892,296.3745145599585,564,1.0,95.61731882058712,224.04102547162142,325.45026315510256,throttle=capacity_fact
6,throttle_storm,durable_workflow,1226,1.0,0,0,1632.6000000000067,1331.6476345840185,5.5505709624796085,142.45927591293025,302.2045398127533,381.4540358615909,641,1.0,193.81807235944734,321.31691725513883,408.9782462279536,throttle=capacity_fact
7,throttle_storm,durable_workflow,1182,1.0,0,0,1546.2000000000048,1308.1218274111716,3.8654822335025383,120.05486808700016,272.0403291293037,363.701193920268,611,1.0,158.3714244789353,306.1566549363388,388.9624665620281,throttle=capacity_fact
8,throttle_storm,durable_workflow,1152,1.0,0,0,1495.4000000000035,1298.0902777777808,1.8229166666666667,94.1134996066653,220.68147716004205,343.86222742208315,583,1.0,110.58099561113704,244.3281620087364,372.37567945130786,throttle=capacity_fact
9,throttle_storm,durable_workflow,1236,1.0,0,0,1660.6000000000085,1343.5275080906217,7.044498381877022,153.48721960960006,326.831253558551,436.80782529567796,637,1.0,222.59435445031863,369.7451404653889,461.94906469014904,throttle=capacity_fact
10,throttle_storm,durable_workflow,1187,1.0,0,0,1571.0000000000061,1323.5046335299126,4.997472620050548,122.45448281316794,289.8841649043711,401.9182718328857,632,1.0,171.03153813440736,337.4050874471113,434.34238731998266,throttle=capacity_fact
11,throttle_storm,durable_workflow,1195,1.0,0,0,1564.2000000000053,1308.953974895402,2.9305439330543934,109.33263386002363,243.31199164150348,388.44873754759556,592,1.0,140.3072711123666,278.54114838191344,428.79732244280694,throttle=capacity_fact
12,throttle_storm,durable_workflow,1146,1.0,0,0,1519.0000000000045,1325.4799301919759,1.9284467713787086,97.69372052599056,239.84411871729526,343.58546225134523,569,1.0,114.07729717362213,250.99393277341915,357.137574190592,throttle=capacity_fact
13,throttle_storm,durable_workflow,1153,0.9991326973113617,0,0,1514.0000000000048,1314.2361111111152,1.4752818733738076,92.73520943331164,223.6031204058949,345.6850686915009,559,1.0,104.39387245819194,253.50522753045766,361.97355465816327,throttle=capacity_fact
14,throttle_storm,durable_workflow,1183,0.9991546914623838,0,0,1546.0000000000057,1307.9526226734397,1.5207100591715976,97.81820286329958,222.53225090942624,317.109239628684,571,1.0,111.98919858228578,242.45506556052646,317.109239628684,throttle=capacity_fact
15,throttle_storm,durable_workflow,1261,1.0,0,0,1680.2000000000094,1332.4345757335523,3.551942902458366,117.15404669785201,257.3829224134231,346.0184774564948,622,1.0,151.03756974012185,297.64760167892473,405.80714796273924,throttle=capacity_fact
16,throttle_storm,durable_workflow,1212,0.9991749174917491,0,0,1580.000000000006,1304.7068538398069,1.7013201320132014,93.94478795881457,220.94156185520524,304.0792001066884,590,1.0,109.0124348123777,258.4045804022653,354.73211377483403,throttle=capacity_fact
17,throttle_storm,durable_workflow,1128,1.0,0,0,1456.2000000000019,1290.9574468085123,1.2207446808510638,90.67285590968191,201.49197485913976,283.83035886641824,575,1.0,95.05574803820605,214.9764154524105,288.42700706949995,throttle=capacity_fact
18,throttle_storm,durable_workflow,1161,1.0,0,0,1504.4000000000037,1295.7795004306665,1.20671834625323,85.39590503791396,214.02105671741265,313.8650225195927,545,1.0,96.61429925083075,235.65520507165093,329.27070968886596,throttle=capacity_fact
19,throttle_storm,durable_workflow,1185,1.0,0,0,1536.200000000004,1296.371308016881,2.9274261603375527,106.90527767780134,247.0596573152552,316.62695549152977,610,1.0,132.1503637735325,265.1857581668696,348.2321479444802,throttle=capacity_fact
20,throttle_storm,durable_workflow,1168,0.9991438356164384,0,0,1523.4000000000049,1305.3984575835518,1.2251712328767124,88.49531538823356,216.7498984509416,285.8707525663334,561,0.9982174688057041,93.19872455189511,225.7848486089065,296.33429292184064,throttle=capacity_fact
21,throttle_storm,durable_workflow,1189,1.0,0,0,1577.8000000000054,1326.997476871325,3.6804037005887302,113.66798330788674,264.19417459878514,344.323781968661,611,1.0,154.04539416653984,293.00310745345564,367.5039568676857,throttle=capacity_fact
22,throttle_storm,durable_workflow,1174,1.0,0,0,1515.6000000000045,1290.9710391822866,1.5425894378194207,92.01263831806475,212.15116039974055,295.97570712022207,597,1.0,107.66488032286111,241.9023174027734,304.07218185900797,throttle=capacity_fact
23,throttle_storm,durable_workflow,1207,1.0,0,0,1581.600000000007,1310.3562551781333,2.3827671913835955,103.72551682508742,236.6575647710963,328.0834041208261,594,1.0,127.90969315282518,277.1037694371753,401.77986817599526,throttle=capacity_fact
24,throttle_storm,durable_workflow,1243,1.0,0,1,1638.000000000007,1317.7795655671819,4.745776347546259,123.08056278505084,292.00146031902204,408.62467167309615,616,1.0,182.94768826303607,335.0882834992126,435.92276692699306,throttle=capacity_fact
25,throttle_storm,durable_workflow,1215,1.0,0,0,1603.2000000000075,1319.5061728395124,2.8781893004115227,106.55671681244257,240.78277666729446,325.75373716203626,617,1.0,134.74535467115857,280.5437718159842,369.1513962936592,throttle=capacity_fact
26,throttle_storm,durable_workflow,1111,1.0,0,0,1462.8000000000025,1316.6516651665188,1.2754275427542754,91.80216570631728,207.7693151861231,292.3188278791481,560,1.0,96.6979432406306,222.20822938842548,320.45548742669416,throttle=capacity_fact
27,throttle_storm,durable_workflow,1178,1.0,0,2,1557.000000000005,1321.7317487266596,3.2538200339558574,116.86696963177496,254.0499914966813,367.641902515913,599,1.0,147.08438877608432,278.2973920776035,370.7422070449418,throttle=capacity_fact
28,throttle_storm,durable_workflow,1123,1.0,0,0,1438.000000000002,1280.4986642920767,1.6322350845948352,89.99026142905291,210.6673765678961,305.81782658766997,545,1.0,110.33834815790306,226.48846618696416,354.48810964521726,throttle=capacity_fact
29,throttle_storm,durable_workflow,1144,1.0,0,0,1470.800000000003,1285.6643356643383,1.3409090909090908,88.79456873900472,199.20267988994965,325.16188108124425,562,1.0,99.65716731082875,215.17547291925894,350.19723873722955,throttle=capacity_fact
30,throttle_storm,durable_workflow,1159,1.0,0,0,1502.8000000000031,1296.6350301984496,1.6125970664365832,93.04545309146226,223.56745391913182,323.0717166888862,585,1.0,108.41283907922434,243.36552950602095,325.53975251009297,throttle=capacity_fact
1,throttle_storm,durable_workflow,1197,1.0,0,0,1625.800000000007,1358.2289055973324,3.2188805346700082,137.5020570831732,382.20304219179343,484.87732384776973,570,1.0,191.32299306066147,421.7606213405968,512.3745765069873,throttle=failure
2,throttle_storm,durable_workflow,1151,1.0,0,0,1500.2000000000037,1303.388357949612,2.9756733275412683,119.35857750964942,372.83053546741667,469.159780641143,579,1.0,205.874343965384,411.18157049953516,528.7636136186425,throttle=failure
3,throttle_storm,durable_workflow,1157,1.0,0,1,1537.800000000005,1329.1270527225627,3.22990492653414,141.1903097936198,404.8204819864304,535.9987326367796,582,1.0,190.77156267667488,468.16476212680345,625.5997494534954,throttle=failure
4,throttle_storm,durable_workflow,1204,1.0,0,0,1635.6000000000085,1358.4717607973494,6.51578073089701,199.4218126360838,620.5640387006729,749.4526066305157,640,1.0,305.96842346290896,689.5172530087443,815.8758907015831,throttle=failure
5,throttle_storm,durable_workflow,1123,0.9991095280498664,0,0,1480.6000000000024,1319.607843137257,3.520926090828139,134.08089218656824,400.08901062587256,521.9026244255535,564,1.0,239.73982596833275,441.82364473375924,597.2763457805418,throttle=failure
6,throttle_storm,durable_workflow,1226,1.0,0,0,1665.60000000001,1358.5644371941353,5.545676998368679,174.35450936055895,497.36627731145154,605.4055761405953,641,1.0,307.14144312459575,528.3753275763511,662.5459321063256,throttle=failure
7,throttle_storm,durable_workflow,1182,1.0,0,0,1592.2000000000069,1347.0389170896844,5.535532994923858,168.6191403576081,518.6623013762255,758.409612748872,611,1.0,343.339453348427,574.4496183550068,821.5888864149133,throttle=failure
8,throttle_storm,durable_workflow,1152,1.0,0,0,1536.4000000000055,1333.6805555555604,2.7569444444444446,123.851762330175,357.7578707358498,476.22661577061626,583,1.0,177.3031713811456,398.5080582240698,495.91958264332425,throttle=failure
9,throttle_storm,durable_workflow,1236,1.0,0,0,1666.200000000008,1348.0582524271908,6.340614886731392,187.95760446791883,645.0665232365764,846.6111700577196,637,1.0,351.04355381786513,707.3804455970667,1012.189763786379,throttle=failure
10,throttle_storm,durable_workflow,1187,1.0,0,0,1594.6000000000045,1343.3866891322698,5.890480202190396,160.9391254254915,572.3222690783678,726.6763025151754,632,1.0,305.1409469882374,610.2727113048586,781.2011568247715,throttle=failure
11,throttle_storm,durable_workflow,1195,0.999163179916318,0,0,1582.0000000000057,1324.9581239531037,2.281171548117155,112.89193332534626,308.93456820412075,441.02781235909197,592,0.9983108108108109,140.64376586618778,364.62151412486264,502.3040770311068,throttle=failure
12,throttle_storm,durable_workflow,1146,1.0,0,0,1522.6000000000029,1328.621291448519,2.306282722513089,115.76029559250628,320.1379198339339,464.8417919217918,569,1.0,152.03531828330188,399.3483455181704,502.02509631893645,throttle=failure
13,throttle_storm,durable_workflow,1153,0.9991326973113617,0,0,1529.6000000000035,1327.7777777777808,1.699913269731136,99.28367502812466,269.3782049621316,420.00535971360705,559,1.0,121.62226634232411,330.4189171241196,479.6079042446463,throttle=failure
14,throttle_storm,durable_workflow,1183,1.0,0,0,1624.8000000000075,1373.4573119188567,5.283178360101437,164.5067331866892,540.3988062278554,701.814419348691,571,1.0,342.41848415988875,596.4841368721172,799.405806047746,throttle=failure
15,throttle_storm,durable_workflow,1261,1.0,0,0,1688.000000000009,1338.6201427438614,3.866772402854877,133.0675074156793,445.5940114511468,571.9770126521512,622,1.0,200.74880823479816,490.2558813101323,676.0922895043004,throttle=failure
16,throttle_storm,durable_workflow,1212,1.0,0,0,1608.2000000000053,1326.8976897689813,3.145214521452145,130.94442837714564,352.95680852960004,531.3687327253856,590,1.0,208.99235136715447,407.07851269947537,610.7796973445852,throttle=failure
17,throttle_storm,durable_workflow,1128,1.0,0,0,1470.8000000000015,1303.9007092198597,2.273936170212766,108.68546806958364,323.12312468540495,419.85528757518205,575,1.0,146.00689564237518,381.35469097408395,490.19294105995596,throttle=failure
18,throttle_storm,durable_workflow,1161,0.9991386735572783,0,0,1502.2000000000035,1295.000000000003,1.1826012058570199,85.20403673538999,211.10055315101704,319.6808221700853,545,0.998165137614679,95.50047713295089,232.96194744348736,329.03086224963954,throttle=failure
19,throttle_storm,durable_workflow,1185,1.0,0,0,1569.800000000007,1324.7257383966305,4.345991561181434,138.45442971773946,475.9728735636436,660.100950208403,610,1.0,219.7039364753316,534.1871999372847,691.3708874903823,throttle=failure
20,throttle_storm,durable_workflow,1168,1.0,0,0,1560.800000000005,1336.301369863018,1.7945205479452055,107.91590196060133,271.18998686253235,388.4656286975892,561,1.0,134.43999412528137,295.0738168919511,418.3763355019753,throttle=failure
21,throttle_storm,durable_workflow,1189,1.0,0,0,1585.6000000000051,1333.5576114381877,4.647603027754416,155.9443593985262,484.60654006695495,638.8184047383561,611,1.0,246.21746807182785,524.290866890372,736.752597031867,throttle=failure
22,throttle_storm,durable_workflow,1174,1.0,0,0,1526.6000000000038,1300.3407155025586,1.6669505962521294,96.94682213622275,270.3432474690692,367.6872628355028,597,1.0,113.34158000073762,296.233945501021,400.7442149701087,throttle=failure
23,throttle_storm,durable_workflow,1207,1.0,0,0,1610.800000000007,1334.5484672742393,3.9577464788732395,134.60941590240827,469.3973913204045,611.491827071201,594,1.0,246.03843727156527,538.8714250839405,747.1514843197558,throttle=failure
24,throttle_storm,durable_workflow,1243,1.0,0,0,1662.0000000000073,1337.0876910699978,4.843121480289622,153.4396815106486,490.51395915857756,617.1064617635095,616,1.0,270.6245148811083,533.3183169970634,753.6448814933015,throttle=failure
25,throttle_storm,durable_workflow,1215,1.0,0,0,1631.400000000008,1342.7160493827225,4.041975308641975,155.18655906457116,433.9740468635173,522.1688219851444,617,1.0,210.56037846719914,469.01105735890815,566.929903158356,throttle=failure
26,throttle_storm,durable_workflow,1111,1.0,0,0,1481.8000000000025,1333.753375337536,2.83978397839784,127.68793730468406,341.9239063918999,494.51537561975283,560,1.0,177.7543608165754,396.6495000504128,558.1196734108814,throttle=failure
27,throttle_storm,durable_workflow,1178,1.0,0,1,1612.000000000008,1368.4210526315856,5.651103565365026,178.6121577927206,512.0579162752829,737.5128355028401,599,1.0,357.8115774975279,589.8589119808032,800.4793687606066,throttle=failure
28,throttle_storm,durable_workflow,1123,1.0,0,0,1479.6000000000026,1317.5422974176336,2.5057880676758684,113.11364306064024,353.9206118638567,461.87285267311336,545,1.0,166.34495573181948,397.0636305668984,490.4131979073013,throttle=failure
29,throttle_storm,durable_workflow,1144,1.0,0,0,1497.0000000000032,1308.5664335664364,1.4431818181818181,93.53829611126866,222.08999904438906,338.37727923405737,562,1.0,107.3378505610458,251.01152917380932,347.67974242511764,throttle=failure
30,throttle_storm,durable_workflow,1159,1.0,0,0,1528.8000000000054,1319.0681622088055,2.3382226056945643,107.56930670422685,365.87507051093644,496.388977003774,585,1.0,130.38063530413956,429.58560506711865,552.1941830630976,throttle=failure
